brand;group_id;group_size
0.0 1Bet Casino , проте інший власник;1;19480
0.0 Bet-global365 Casino Копія Казино закрито;1;19480
0.0 Casino4Dreams Казино закрито;1;19480
0.0 World Casino Bet Копія Казино закрито;1;19480
0.1 Pribet Casino;1;19480
0.2 Zodiacbet Casino;1;19480
0.5 SlotsNBets Casino Спільна партнерська програма;1;19480
0.7 Boombet Casino;1;19480
0039bet Casino;1;19480
0x Bet Casino;1;19480
1.0 18bet Casino , проте інший власник;1;19480
1.0 Scatterhall Casino Казино закрито;1;19480
1.2 14red Casino;1;19480
1.2 PokerBet Casino;1;19480
1.3 CrazyWinners Casino;1;19480
1.3 Gamblii Casino;1;19480
1.3 Lord of the Spins Casino Спільна партнерська програма;1;19480
1.3 Split Aces Casino Казино не приймає нових гравців;1;19480
1.3 Winstler.io Casino Казино закрито;1;19480
1.4 4Kasino Casino;1;19480
1.4 Lucy's Casino;1;19480
1.4 Mad Casino;1;19480
1.4 Palm.Casino;1;19480
1.4 Ricardo's Casino;1;19480
1.4 SupaCasi Casino;1;19480
1.5 Casino Napoli;1;19480
1.5 Divas Luck Casino;1;19480
1.5 Gibson Casino;1;19480
1.5 JinxCasino;1;19480
1.5 Play Regal Casino;1;19480
1.6 5plusbet Casino Казино закрито;1;19480
1.6 KingdomCasino.io;1;19480
1.6 PlayFast Casino;1;19480
1.6 Treasure Spins Casino;1;19480
1.7 Anonym Bet Casino Спільна партнерська програма Казино закрито;1;19480
1.7 SpinUp Casino Казино на обслуговуванні;1;19480
1.8 21 Grand Casino;1;19480
1.8 Johnny Kash Casino Казино закрито;1;19480
1.8 OrientXpress Casino Казино не приймає нових гравців;1;19480
1.8 Seven Casino;1;19480
1.8 SlotHive Casino;1;19480
1.8 Slottio Casino;1;19480
1.8 Spin Oasis Casino Казино закрито;1;19480
1.8 Win MaChance Casino;1;19480
1.9 Bingo Billy Casino;1;19480
1.9 Campeonbet Casino Спільна партнерська програма;1;19480
1.9 Casino Fiz;1;19480
1.9 Gxmble Casino;1;19480
1.9 Nordicasino Казино закрито;1;19480
1.9 Vanguards Casino;1;19480
1.9 Win Unique Casino;1;19480
1001 Bingo Casino;1;19480
100pokies Casino;1;19480
100pudov Casino;1;19480
10bet Casino;1;19480
10cric Casino;1;19480
11 Lv Casino;1;19480
11croco Casino;1;19480
11ic Casino;1;19480
11jackpots Casino;1;19480
123 Spins Casino;1;19480
123 Vegas Casino;1;19480
123bingoonline Casino;1;19480
126asia Casino;1;19480
128mega Casino;1;19480
12bet 1 Casino;1;19480
12jeet Casino;1;19480
12play Casino;1;19480
138 Casino;1;19480
13bet Casino;1;19480
14game Casino;1;19480
14red Casino;1;19480
159games Casino;1;19480
15win Casino;1;19480
1678pg Casino;1;19480
168g Casino;1;19480
168games Casino;1;19480
17br Casino;1;19480
188bet Casino;1;19480
18ace Casino;1;19480
18bet Casino;1;19480
18club Casino;1;19480
18hoki Casino;1;19480
1957bet Casino;1;19480
1960bet Com Casino;1;19480
19rich Casino;1;19480
1acasino Casino;1;19480
1b9 Casino;1;19480
1bet Casino;1;19480
1bet2u Casino;1;19480
1casi Casino;1;19480
1clickwin Casino;1;19480
1go Casino;1;19480
1goodbet Casino;1;19480
1king Casino;1;19480
1mdbet Casino;1;19480
1mybet Casino;1;19480
1onewin Casino;1;19480
1play Casino;1;19480
1pokies Casino;1;19480
1red Casino;1;19480
1rolls Casino;1;19480
1ru Bet Casino;1;19480
1sbet Casino;1;19480
1spin Up Casino;1;19480
1spin Win Casino;1;19480
1stbetcoin Casino;1;19480
1u2win Casino;1;19480
1win Blog Casino;1;19480
1win Casino;1;19480
1x2 Casino;1;19480
1x2 Masters Casino;1;19480
1x2bgo Casino;1;19480
1xbet Casino;1;19480
1xbit Casino;1;19480
1xcasino Casino;1;19480
1xcrypto Casino;1;19480
1xslots Casino;1;19480
2.0 EuroFortune Online Casino;1;19480
2.0 Stay Lucky Casino , проте інший власник Казино не приймає нових гравців;1;19480
2.0 Stay Lucky Casino Казино не приймає нових гравців;1;19480
2.0 Vegas Days Casino;1;19480
2.1 BingoVillage Casino;1;19480
2.1 Fabspins Casino Казино закрито;1;19480
2.1 Jokerino Casino Казино закрито;1;19480
2.1 LSbet Casino;1;19480
2.1 Reeltastic Casino Казино закрито;1;19480
2.1 Spin Madness Casino;1;19480
2.2 CrownCas Casino Казино закрито;1;19480
2.2 ReloadBet Casino;1;19480
2.2 Spinpirate Casino Казино закрито;1;19480
2.2 Svenbet Casino Спільна партнерська програма;1;19480
2.3 Agent Spins Casino Спільна партнерська програма;1;19480
2.3 Casino Superlines;1;19480
2.3 Joka Room Casino Казино закрито;1;19480
2.3 Kikobet Casino;1;19480
2.3 LiveWinz Casino Спільна партнерська програма;1;19480
2.3 Macau Casino Копія;1;19480
2.3 Nucleonbet Casino Спільна партнерська програма;1;19480
2.3 Rufus Casino , проте інший власник Казино закрито;1;19480
2.3 StakeMania Casino;1;19480
2.4 BillionVegas Casino Казино закрито;1;19480
2.4 Evobet Casino Спільна партнерська програма;1;19480
2.4 La Fiesta Casino Казино закрито;1;19480
2.4 LottaBet Casino Казино закрито;1;19480
2.4 Mundoapostas Casino;1;19480
2.4 Spintropolis Casino;1;19480
2.5 21bets Casino;1;19480
2.5 All Wins Casino Спільна партнерська програма;1;19480
2.5 Casollo Casino Казино закрито;1;19480
